nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"Pregunta P8.1 ¿La segunda vivienda está en México o en otro país?","1","C","p8_1","p8_1","1,2"
"Pregunta P8.2 ¿La segunda vivienda…?","1","C","p8_2","p8_2","1…7"
"Pregunta P8.3.1 ¿En qué año se adquirió la segunda vivienda?","4","C","p8_3_1","p8_3_1","1969…2020,9999"
"Pregunta P8.3.2 ¿En qué año se inició la construcción de la segunda vivienda?","4","C","p8_3_2","p8_3_2","1970…2020,9999"
"Pregunta P8.3.3 ¿En qué año se finalizó la construcción de la segunda vivienda?","4","C","p8_3_3","p8_3_3","1972…2020,8888,9999"
"Pregunta P8.4 En total ¿cuánto se acordó pagar por la segunda vivienda?","9","C","p8_4","p8_4","000014555…210000000,900000000,999999888,999999999"
"Pregunta P8.4A ¿Esta cantidad es en…?","1","C","p8_4a","p8_4a","1,2"
"Pregunta P8.5.01 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó crédito de INFONAVIT?","1","C","p8_5_01","p8_5_01","1,2"
"Pregunta P8.6.01 ¿Cuánto les otorgaron (se usó) de (del) (crédito de INFONAVIT)?","9","C","p8_6_01","p8_6_01","000045000…001850000,999999888,999999999"
"Pregunta P8.6A.01 ¿Esta cantidad fue en…?","1","C","p8_6a_01","p8_6a_01","1,2"
"Pregunta P8.5.02 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó crédito de FOVISSSTE?","1","C","p8_5_02","p8_5_02","1,2"
"Pregunta P8.6.02 ¿Cuánto les otorgaron (se usó) de (del) (crédito de FOVISSSTE)?","9","C","p8_6_02","p8_6_02","000020000…000950000,999999888,999999999"
"Pregunta P8.6A.02 ¿Esta cantidad fue en…?","1","C","p8_6a_02","p8_6a_02","1,2"
"Pregunta P8.5.03 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó crédito de otra institución pública?","1","C","p8_5_03","p8_5_03","1,2"
"Pregunta P8.6.03 ¿Cuánto les otorgaron (se usó) de (del) (crédito de otra institución pública)?","9","C","p8_6_03","p8_6_03","000002000…001200000,999999888,999999999"
"Pregunta P8.6A.03 ¿Esta cantidad fue en…?","1","C","p8_6a_03","p8_6a_03","1,2"
"Pregunta P8.5.04 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó crédito de una institución financiera privada (banco, sofol, caja de ahorro)?","1","C","p8_5_04","p8_5_04","1,2"
"Pregunta P8.6.04 ¿Cuánto les otorgaron (se usó) de (del) (crédito de una institución financiera privada (banco, sofol, caja de ahorro))?","9","C","p8_6_04","p8_6_04","000010000…028000000,999999888,999999999"
"Pregunta P8.6A.04 ¿Esta cantidad fue en…?","1","C","p8_6a_04","p8_6a_04","1,2"
"Pregunta P8.5.05 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó crédito de alguna organización no lucrativa?","1","C","p8_5_05","p8_5_05","1,2"
"Pregunta P8.6.05 ¿Cuánto les otorgaron (se usó) de (del) (crédito de alguna organización no lucrativa)?","9","C","p8_6_05","p8_6_05","000700000,999999888,999999999"
"Pregunta P8.6A.05 ¿Esta cantidad fue en…?","1","C","p8_6a_05","p8_6a_05","1,2"
"Pregunta P8.5.06 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó préstamo de un familiar, amigo u otra persona?","1","C","p8_5_06","p8_5_06","1,2"
"Pregunta P8.6.06 ¿Cuánto les otorgaron (se usó) de (del) (préstamo de un familiar, amigo u otra persona)?","9","C","p8_6_06","p8_6_06","000020000…000400000,999999888,999999999"
"Pregunta P8.6A.06 ¿Esta cantidad fue en…?","1","C","p8_6a_06","p8_6a_06","1,2"
"Pregunta P8.5.07 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó sus propios recursos?","1","C","p8_5_07","p8_5_07","1,2"
"Pregunta P8.6.07 ¿Cuánto les otorgaron (se usó) de (del) (sus propios recursos)?","9","C","p8_6_07","p8_6_07","000002000…003500000,999999888,999999999"
"Pregunta P8.6A.07 ¿Esta cantidad fue en…?","1","C","p8_6a_07","p8_6a_07","1,2"
"Pregunta P8.5.08 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó subsidio Federal (CONAVI, FONHAPO, etcétera)?","1","C","p8_5_08","p8_5_08","1,2"
"Pregunta P8.6.08 ¿Cuánto les otorgaron (se usó) de (del) (subsidio Federal (CONAVI, FONHAPO, etcétera))?","9","C","p8_6_08","p8_6_08","000024000…000080000,999999888,999999999"
"Pregunta P8.6A.08 ¿Esta cantidad fue en…?","1","C","p8_6a_08","p8_6a_08","1,2"
"Pregunta P8.5.09 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó subsidio Estatal?","1","C","p8_5_09","p8_5_09","1,2"
"Pregunta P8.6.09 ¿Cuánto les otorgaron (se usó) de (del) (subsidio Estatal)?","9","C","p8_6_09","p8_6_09","000060000,999999888,999999999"
"Pregunta P8.6A.09 ¿Esta cantidad fue en…?","1","C","p8_6a_09","p8_6a_09","1,2"
"Pregunta P8.5.10 Para financiar la compra (construcción) de la segunda vivienda, ¿alguna persona de este hogar utilizó subsidio Municipal?","1","C","p8_5_10","p8_5_10","1,2"
"Pregunta P8.6.10 ¿Cuánto les otorgaron (se usó) de (del) (subsidio Municipal)?","9","C","p8_6_10","p8_6_10","000000001…899999999,999999888,999999999"
"Pregunta P8.6A.10 ¿Esta cantidad fue en…?","1","C","p8_6a_10","p8_6a_10","1,2"
"Pregunta P8.7 ¿Alguna persona de este hogar compró el terreno para la construcción de la segunda vivienda?","1","C","p8_7","p8_7","1,2"
"Pregunta P8.8 ¿El terreno donde construyó se obtuvo…?","1","C","p8_8","p8_8","1…3"
"Pregunta P8.9 ¿Cuánto se pagó por el terreno o lote donde se construyó la segunda vivienda?","9","C","p8_9","p8_9","000001500…015000000,900000000,999999888,999999999"
"Pregunta P8.9A ¿Esta cantidad es en…?","1","C","p8_9a","p8_9a","1,2"
"Pregunta P8.10.1 Para la construcción de la segunda vivienda, durante 2020 ¿alguna persona de este hogar gastó en servicios de diseño y trazado de la vivienda?","1","C","p8_10_1","p8_10_1","1,2"
"Pregunta P8.10A.1 ¿Cuánto se gastó en (servicios de diseño y trazado de la vivienda)?","9","C","p8_10a_1","p8_10a_1","000000200…000100000,999999888,999999999"
"Pregunta P8.10.2 Para la construcción de la segunda vivienda, durante 2020 ¿alguna persona de este hogar gastó en servicios de división y preparación del terreno?","1","C","p8_10_2","p8_10_2","1,2"
"Pregunta P8.10A.2 ¿Cuánto se gastó en (servicios de división y preparación del terreno)?","9","C","p8_10a_2","p8_10a_2","000000800…000030000,999999888,999999999"
"Pregunta P8.10.3 Para la construcción de la segunda vivienda, durante 2020 ¿alguna persona de este hogar gastó en servicios de demolición de otra vivienda?","1","C","p8_10_3","p8_10_3","1,2"
"Pregunta P8.10A.3 ¿Cuánto se gastó en (servicios de demolición de otra vivienda)?","9","C","p8_10a_3","p8_10a_3","000003000…000007000,999999888,999999999"
"Pregunta P8.10.4 Para la construcción de la segunda vivienda, durante 2020 ¿alguna persona de este hogar gastó en licencia o permiso para construir?","1","C","p8_10_4","p8_10_4","1,2"
"Pregunta P8.10A.4 ¿Cuánto se gastó en (licencia o permiso para construir)?","9","C","p8_10a_4","p8_10a_4","000000700…000050000,999999888,999999999"
"Pregunta P8.10.5 Para la construcción de la segunda vivienda, durante 2019 ¿alguna persona de este hogar gastó en otros servicios para la construcción de la segunda vivienda (avalúo de terreno, licencia de uso de suelo, registro público de la propiedad)?","1","C","p8_10_5","p8_10_5","1,2"
"Pregunta P8.10A.5 ¿Cuánto se gastó en (otros servicios para la construcción de la segunda vivienda (avalúo de terreno, licencia de uso de suelo, registro público de la propiedad))?","9","C","p8_10a_5","p8_10a_5","000000001…899999999,999999888,999999999"
"Pregunta P8.11.1 Durante 2020, para la segunda vivienda ¿alguna persona de este hogar gastó en servicios notariales para la escrituración de la segunda vivienda?","1","C","p8_11_1","p8_11_1","1,2"
"Pregunta P8.11A.1 ¿Cuánto se gastó en (en servicios notariales para la escrituración de la segunda vivienda)?","9","C","p8_11a_1","p8_11a_1","000000200…000130000,999999888,999999999"
"Pregunta P8.11.2 Durante 2020, para la segunda vivienda ¿alguna persona de este hogar realizó otros gastos derivados de la compra (construcción) de la segunda vivienda (impuestos y honorarios del notario)?","1","C","p8_11_2","p8_11_2","1,2"
"Pregunta P8.11A.2 ¿Cuánto se gastó en (otros gastos derivados de la compra (construcción) de la segunda vivienda (impuestos y honorarios del notario))?","9","C","p8_11a_2","p8_11a_2","000000150…000300000,999999888,999999999"
"Pregunta P8.12.1 Durante el 2020, ¿a la segunda vivienda se le hizo alguna construcción de paredes, pisos, techos?","1","C","p8_12_1","p8_12_1","1,2"
"Pregunta P8.12A1.1 Para la (construcción de paredes, pisos, techos), ¿cuánto se gastó en materiales?","9","C","p8_12a1_1","p8_12a1_1","000000000,000000400…000600000,999999888,999999999"
"Pregunta P8.12A1.2 Para la (construcción de paredes, pisos, techos), ¿cuánto se gastó en sueldos y salarios?","9","C","p8_12a1_2","p8_12a1_2","000000000,000000500…000250000,999999888,999999999"
"Pregunta P8.12A1.3 Para la (construcción de paredes, pisos, techos), ¿cuánto se gastó en licencia o permiso para construir?","9","C","p8_12a1_3","p8_12a1_3","000000000,000000600…000007500,999999888,999999999"
"Pregunta P8.12.2 Durante el 2020, ¿a la segunda vivienda se le hizo alguna ampliación como construir nuevos cuartos?","1","C","p8_12_2","p8_12_2","1,2"
"Pregunta P8.12A2.1 Para la (ampliación como construir nuevos cuartos), ¿cuánto se gastó en materiales?","9","C","p8_12a2_1","p8_12a2_1","000000000,000003000…000250000,999999888,999999999"
"Pregunta P8.12A2.2 Para la (ampliación como construir nuevos cuartos), ¿cuánto se gastó en sueldos y salarios?","9","C","p8_12a2_2","p8_12a2_2","000000000,000000500…000100000,999999888,999999999"
"Pregunta P8.12A2.3 Para la (ampliación como construir nuevos cuartos), ¿cuánto se gastó en licencia o permiso para construir?","9","C","p8_12a2_3","p8_12a2_3","000000000,000000900…000175000,999999888,999999999"
"Pregunta P8.12.3 Durante el 2020, ¿a la segunda vivienda se le hizo alguna renovación, rehabilitación o reforzamiento de la parte estructural como un cambio o construcción de trabes, paredes, cimientos, techos, muros, vigas o pisos?","1","C","p8_12_3","p8_12_3","1,2"
"Pregunta P8.12A3.1 Para la (renovación, rehabilitación o reforzamiento de la parte estructural como un cambio o construcción de trabes, paredes, cimientos, techos, muros, vigas o pisos), ¿cuánto se gastó en materiales?","9","C","p8_12a3_1","p8_12a3_1","000000000,000000300…000350000,999999888,999999999"
"Pregunta P8.12A3.2 Para la (renovación, rehabilitación o reforzamiento de la parte estructural como un cambio o construcción de trabes, paredes, cimientos, techos, muros, vigas o pisos), ¿cuánto se gastó en sueldos y salarios?","9","C","p8_12a3_2","p8_12a3_2","000000000,000000200…000120000,999999888,999999999"
"Pregunta P8.12A3.3 Para la (renovación, rehabilitación o reforzamiento de la parte estructural como un cambio o construcción de trabes, paredes, cimientos, techos, muros, vigas o pisos), ¿cuánto se gastó en licencia o permiso para construir?","9","C","p8_12a3_3","p8_12a3_3","000000000,000004000…000015000,999999888,999999999"
"Pregunta P8.12.4 Durante el 2020, ¿a la segunda vivienda se le hizo alguna reparación menor o mantenimiento?","1","C","p8_12_4","p8_12_4","1,2"
"Pregunta P8.12A4.1 Para la (reparación menor o mantenimiento), ¿cuánto se gastó en materiales?","9","C","p8_12a4_1","p8_12a4_1","000000000,000000100…000200000,999999888,999999999"
"Pregunta P8.12A4.2 Para la (reparación menor o mantenimiento), ¿cuánto se gastó en sueldos y salarios?","9","C","p8_12a4_2","p8_12a4_2","000000000,000000100…000060000,999999888,999999999"
"Pregunta P8.12.5 Durante el 2020, ¿a la segunda vivienda se le hizo alguna remodelación?","1","C","p8_12_5","p8_12_5","1,2"
"Pregunta P8.12A5.1 Para la (remodelación), ¿cuánto se gastó en materiales?","9","C","p8_12a5_1","p8_12a5_1","000000000,000000200…000400000,999999888,999999999"
"Pregunta P8.12A5.2 Para la (remodelación), ¿cuánto se gastó en sueldos y salarios?","9","C","p8_12a5_2","p8_12a5_2","000000000,000000400…000100000,999999888,999999999"
"Pregunta P8.13.1 Para financiar este gasto, ¿alguna persona de este hogar utilizó crédito de una institución pública?","1","C","p8_13_1","p8_13_1","1,2"
"Pregunta P8.13A.1 ¿Qué cantidad se obtuvo del (de) (crédito de una institución pública)?","9","C","p8_13a_1","p8_13a_1","000001000…000200000,999999888,999999999"
"Pregunta P8.13.2 Para financiar este gasto, ¿alguna persona de este hogar utilizó crédito de una institución privada (banco, sofol, caja de ahorro)?","1","C","p8_13_2","p8_13_2","1,2"
"Pregunta P8.13A.2 ¿Qué cantidad se obtuvo del (de) (crédito de una institución privada (banco, sofol, caja de ahorro))?","9","C","p8_13a_2","p8_13a_2","000003000…000170000,999999888,999999999"
"Pregunta P8.13.3 Para financiar este gasto, ¿alguna persona de este hogar utilizó crédito de una organización no lucrativa?","1","C","p8_13_3","p8_13_3","1,2"
"Pregunta P8.13A.3 ¿Qué cantidad se obtuvo del (de) (crédito de una organización no lucrativa)?","9","C","p8_13a_3","p8_13a_3","000000001…899999999,999999888,999999999"
"Pregunta P8.13.4 Para financiar este gasto, ¿alguna persona de este hogar utilizó préstamo de un familiar, amigo u otra persona?","1","C","p8_13_4","p8_13_4","1,2"
"Pregunta P8.13A.4 ¿Qué cantidad se obtuvo del (de) (préstamo de un familiar, amigo u otra persona)?","9","C","p8_13a_4","p8_13a_4","000000500…000080000,999999888,999999999"
"Pregunta P8.13.5 Para financiar este gasto, ¿alguna persona de este hogar utilizó sus propios recursos?","1","C","p8_13_5","p8_13_5","1,2"
"Pregunta P8.13A.5 ¿Qué cantidad se obtuvo del (de) (sus propios recursos)?","9","C","p8_13a_5","p8_13a_5","000000050…000700000,999999888,999999999"
"Pregunta P8.13.6 Para financiar este gasto, ¿alguna persona de este hogar utilizó subsidio Federal (CONAVI, FONHAPO, etcétera)?","1","C","p8_13_6","p8_13_6","1,2"
"Pregunta P8.13A.6 ¿Qué cantidad se obtuvo del (de) (subsidio Federal (CONAVI, FONHAPO, etcétera)?","9","C","p8_13a_6","p8_13a_6","000005500…000029000,999999888,999999999"
"Pregunta P8.13.7 Para financiar este gasto, ¿alguna persona de este hogar utilizó subsidio Estatal?","1","C","p8_13_7","p8_13_7","1,2"
"Pregunta P8.13A.7 ¿Qué cantidad se obtuvo del (de) (subsidio Estatal)?","9","C","p8_13a_7","p8_13a_7","000040000,999999888,999999999"
"Pregunta P8.13.8 Para financiar este gasto, ¿alguna persona de este hogar utilizó subsidio Municipal?","1","C","p8_13_8","p8_13_8","1,2"
"Pregunta P8.13A.8 ¿Qué cantidad se obtuvo del (de) (subsidio Municipal)?","9","C","p8_13a_8","p8_13a_8","000004000,999999888,999999999"
"Pregunta P8.14.1 Durante el 2020, ¿alguna persona de este hogar recibió gratuitamente material para construir la vivienda?","1","C","p8_14_1","p8_14_1","1,2"
"Pregunta P8.15.1.1 ¿Quién otorgó el (material para construir la vivienda)? - GOBIERNO","1","C","p8_15_1_1","p8_15_1_1","0,1"
"Pregunta P8.15.1.2 ¿Quién otorgó el (material para construir la vivienda)? - ORGANIZACIONES NO LUCRATIVAS","1","C","p8_15_1_2","p8_15_1_2","0,1"
"Pregunta P8.15.1.3 ¿Quién otorgó el (material para construir la vivienda)? - EMPRESAS","1","C","p8_15_1_3","p8_15_1_3","0,1"
"Pregunta P8.15.1.4 ¿Quién otorgó el (material para construir la vivienda)? - OTRO HOGAR","1","C","p8_15_1_4","p8_15_1_4","0,1"
"Pregunta P8.16.1.1 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 1","9","C","p8_16_1_1","p8_16_1_1","000001200…000060000,999999888,999999999"
"Pregunta P8.16.1.2 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 2","9","C","p8_16_1_2","p8_16_1_2","000000001…899999999,999999888,999999999"
"Pregunta P8.14.2 Durante el 2020, ¿alguna persona de este hogar recibió gratuitamente material para ampliar la vivienda como construir nuevos cuartos?","1","C","p8_14_2","p8_14_2","1,2"
"Pregunta P8.15.2.1 ¿Quién otorgó el (material para ampliar la vivienda como construir nuevos cuartos)? - GOBIERNO","1","C","p8_15_2_1","p8_15_2_1","0,1"
"Pregunta P8.15.2.2 ¿Quién otorgó el (material para ampliar la vivienda como construir nuevos cuartos)? - ORGANIZACIONES NO LUCRATIVAS","1","C","p8_15_2_2","p8_15_2_2","0,1"
"Pregunta P8.15.2.3 ¿Quién otorgó el (material para ampliar la vivienda como construir nuevos cuartos)? - EMPRESAS","1","C","p8_15_2_3","p8_15_2_3","0,1"
"Pregunta P8.15.2.4 ¿Quién otorgó el (material para ampliar la vivienda como construir nuevos cuartos)? - OTRO HOGAR","1","C","p8_15_2_4","p8_15_2_4","0,1"
"Pregunta P8.16.2.1 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 1","9","C","p8_16_2_1","p8_16_2_1","000004000,999999888,999999999"
"Pregunta P8.16.2.2 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 2","9","C","p8_16_2_2","p8_16_2_2","000000001…899999999,999999888,999999999"
"Pregunta P8.14.3 Durante el 2020, ¿alguna persona de este hogar recibió gratuitamente material para renovar, rehabilitar o reforzar la parte estructural de la vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos?","1","C","p8_14_3","p8_14_3","1,2"
"Pregunta P8.15.3.1 ¿Quién otorgó el (material para renovar, rehabilitar o reforzar la parte estructural de la vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos)? - GOBIERNO","1","C","p8_15_3_1","p8_15_3_1","0,1"
"Pregunta P8.15.3.2 ¿Quién otorgó el (material para renovar, rehabilitar o reforzar la parte estructural de la vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos)? - ORGANIZACIONES NO LUCRATIVAS","1","C","p8_15_3_2","p8_15_3_2","0,1"
"Pregunta P8.15.3.3 ¿Quién otorgó el (material para renovar, rehabilitar o reforzar la parte estructural de la vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos)? - EMPRESAS","1","C","p8_15_3_3","p8_15_3_3","0,1"
"Pregunta P8.15.3.4 ¿Quién otorgó el (material para renovar, rehabilitar o reforzar la parte estructural de la vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos)? - OTRO HOGAR","1","C","p8_15_3_4","p8_15_3_4","0,1"
"Pregunta P8.16.3.1 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 1","9","C","p8_16_3_1","p8_16_3_1","000001500…000010000,999999888,999999999"
"Pregunta P8.16.3.2 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 2","9","C","p8_16_3_2","p8_16_3_2","000000001…899999999,999999888,999999999"
"Pregunta P8.14.4 Durante el 2020, ¿alguna persona de este hogar recibió gratuitamente material para dar mantenimiento o hacer reparaciones?","1","C","p8_14_4","p8_14_4","1,2"
"Pregunta P8.15.4.1 ¿Quién otorgó el (material para dar mantenimiento o hacer reparaciones)? - GOBIERNO","1","C","p8_15_4_1","p8_15_4_1","0,1"
"Pregunta P8.15.4.2 ¿Quién otorgó el (material para dar mantenimiento o hacer reparaciones)? - ORGANIZACIONES NO LUCRATIVAS","1","C","p8_15_4_2","p8_15_4_2","0,1"
"Pregunta P8.15.4.3 ¿Quién otorgó el (material para dar mantenimiento o hacer reparaciones)? - EMPRESAS","1","C","p8_15_4_3","p8_15_4_3","0,1"
"Pregunta P8.15.4.4 ¿Quién otorgó el (material para dar mantenimiento o hacer reparaciones)? - OTRO HOGAR","1","C","p8_15_4_4","p8_15_4_4","0,1"
"Pregunta P8.16.4.1 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 1","9","C","p8_16_4_1","p8_16_4_1","000001000…000800000,999999888,999999999"
"Pregunta P8.16.4.2 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 2","9","C","p8_16_4_2","p8_16_4_2","000000001…899999999,999999888,999999999"
"Pregunta P8.14.5 Durante el 2020, ¿alguna persona de este hogar recibió gratuitamente otros apoyos en especie?","1","C","p8_14_5","p8_14_5","1,2"
"Pregunta P8.15.5.1 ¿Quién otorgó el (otros apoyos en especie)? - GOBIERNO","1","C","p8_15_5_1","p8_15_5_1","0,1"
"Pregunta P8.15.5.2 ¿Quién otorgó el (otros apoyos en especie)? - ORGANIZACIONES NO LUCRATIVAS","1","C","p8_15_5_2","p8_15_5_2","0,1"
"Pregunta P8.15.5.3 ¿Quién otorgó el (otros apoyos en especie)? - EMPRESAS","1","C","p8_15_5_3","p8_15_5_3","0,1"
"Pregunta P8.15.5.4 ¿Quién otorgó el (otros apoyos en especie)? - OTRO HOGAR","1","C","p8_15_5_4","p8_15_5_4","0,1"
"Pregunta P8.16.5.1 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 1","9","C","p8_16_5_1","p8_16_5_1","000000320…000020000,999999888,999999999"
"Pregunta P8.16.5.2 ¿En cuánto se estima el valor del apoyo en pesos? APOYO 2","9","C","p8_16_5_2","p8_16_5_2","000000001…899999999,999999888,999999999"
"Pregunta P8.17.1 Durante 2020, ¿alguna persona de este hogar dedicó tiempo a construir la segunda vivienda?","1","C","p8_17_1","p8_17_1","1,2"
"Pregunta P8.18.1.1 ¿Cuántas horas dedicó a (construir la segunda vivienda) en el mes de octubre de 2020?","3","C","p8_18_1_1","p8_18_1_1","000,002…240,999"
"Pregunta P8.18.1.2 ¿Cuántas horas dedicó a (construir la segunda vivienda) la última semana de octubre 2020?","3","C","p8_18_1_2","p8_18_1_2","000,003…060,999"
"Pregunta P8.17.2 Durante 2020, ¿alguna persona de este hogar dedicó tiempo a ampliar la segunda vivienda como construir nuevos cuartos?","1","C","p8_17_2","p8_17_2","1,2"
"Pregunta P8.18.2.1 ¿Cuántas horas dedicó a (ampliar la segunda vivienda como construir nuevos cuartos) en el mes de octubre de 2020?","3","C","p8_18_2_1","p8_18_2_1","000,005…100,999"
"Pregunta P8.18.2.2 ¿Cuántas horas dedicó a (ampliar la segunda vivienda como construir nuevos cuartos) la última semana de octubre 2020?","3","C","p8_18_2_2","p8_18_2_2","000,004…056,999"
"Pregunta P8.17.3 Durante 2020, ¿alguna persona de este hogar dedicó tiempo a renovar, rehabilitar o reforzar la parte estructural de la segunda vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos?","1","C","p8_17_3","p8_17_3","1,2"
"Pregunta P8.18.3.1 ¿Cuántas horas dedicó a (renovar, rehabilitar o reforzar la parte estructural de la segunda vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos) en el mes de octubre de 2020?","3","C","p8_18_3_1","p8_18_3_1","000,003…090,999"
"Pregunta P8.18.3.2 ¿Cuántas horas dedicó a (renovar, rehabilitar o reforzar la parte estructural de la segunda vivienda como cambiar o incluir trabes, paredes, cimientos, techos, muros, vigas o pisos) la última semana de octubre 2020?","3","C","p8_18_3_2","p8_18_3_2","000,002…030,999"
"Pregunta P8.17.4 Durante 2020, ¿alguna persona de este hogar dedicó tiempo a dar mantenimiento o hacer reparaciones?","1","C","p8_17_4","p8_17_4","1,2"
"Pregunta P8.18.4.1 ¿Cuántas horas dedicó a (dar mantenimiento o hacer reparaciones) en el mes de octubre de 2020?","3","C","p8_18_4_1","p8_18_4_1","000…210,999"
"Pregunta P8.18.4.2 ¿Cuántas horas dedicó a (dar mantenimiento o hacer reparaciones) la última semana de octubre 2020?","3","C","p8_18_4_2","p8_18_4_2","000…035,999"
"Pregunta P8.17.5 Durante 2020, ¿alguna persona de este hogar dedicó tiempo a remodelar la segunda vivienda?","1","C","p8_17_5","p8_17_5","1,2"
"Pregunta P8.18.5.1 ¿Cuántas horas dedicó a (remodelar la segunda vivienda) en el mes de octubre de 2020?","3","C","p8_18_5_1","p8_18_5_1","000,004…210,999"
"Pregunta P8.18.5.2 ¿Cuántas horas dedicó a (remodelar la segunda vivienda) la última semana de octubre 2020?","3","C","p8_18_5_2","p8_18_5_2","000,004…050,999"
"Pregunta P8.19 ¿La segunda vivienda…?","1","C","p8_19","p8_19","1…8"
"Pregunta P8.20 ¿Cuál es el uso que se le da a la segunda vivienda?","1","C","p8_20","p8_20","1…3"
"Pregunta P8.21 ¿Cuánto se cobra al mes por la renta de la segunda vivienda?","5","C","p8_21","p8_21","00200…90000,98000,99888,99999"
"Pregunta P8.22 Si se rentara o alquilara la segunda vivienda, ¿cuánto se cobraría al mes?","5","C","p8_22","p8_22","00150…45000,98000,99888,99999"
"Pregunta P8.23 Si tuviera que venderse en este momento la segunda vivienda, ¿en cuánto se daría?","9","C","p8_23","p8_23","000005000…200500000,900000000,999999888,999999999"
"Pregunta P8.24A De la siguiente tarjeta, dígame la principal razón por la que decidió adquirir esta segunda vivienda. 8.24a ¿La principal?","2","C","p8_24a","p8_24a","01…09,98"
"Pregunta P8.24B De la siguiente tarjeta, dígame la principal razón por la que decidió adquirir esta segunda vivienda. 8.24b ¿Y la segunda?","2","C","p8_24b","p8_24b","01…09,98"
"Pregunta P8.25 ¿La segunda vivienda es…?","1","C","p8_25","p8_25","1…6"
"Pregunta P8.26 ¿De qué material es la mayor parte de las paredes de la segunda vivienda?","1","C","p8_26","p8_26","1…8"
"Pregunta P8.27 ¿De qué material es la mayor parte del techo de la segunda vivienda?","2","C","p8_27","p8_27","01…10"
"Pregunta P8.28 ¿De qué material es la mayor parte del piso de la segunda vivienda?","1","C","p8_28","p8_28","1…3"
"Pregunta P8.29 ¿Cuántos cuartos tiene en total la segunda vivienda, contando la cocina? (no cuente pasillos ni baños)","2","C","p8_29","p8_29","01…15,99"
"Pregunta P8.30.1 ¿Cuántos metros de construcción tiene la segunda vivienda?","3","C","p8_30_1","p8_30_1","006…714,997...999"
"Pregunta P8.30.2 ¿Cuántos metros de construcción tiene la segunda vivienda?","1","C","p8_30_2","p8_30_2","1…9"
"Entidad","2","C","ent","ent","01…32"
"Tamaño de localidad","1","C","tloc","tloc","1…4"
"Estrato de diseño","3","C","est_dis","","001…552"
"Unidad primaria de muestreo de diseño","7","C","upm_dis","","0000001…0008300"
"Factor de expansión","5","C","factor","","00010…06837"
